Name,X,Y,S1,S2,S3,S4,S5,S6,Signal
15-12,327137.93,4.40603467e6,0.9073636873294333,3.251897139634197e-16,4.612869510255601e-16,0.554857871638828,2.236772216410241e-16,2.9496126212995475e-16,F
17-31,328813.04,4.40882204e6,0.34689594234559906,0.02844929770776587,0.535613129805025,2.9151621637478615e-16,0.42394347460025467,2.9496126212995475e-16,B
18-1,327026.54,4.40703217e6,3.832003399956304e-16,0.2373381876160833,4.612869510255601e-16,0.6932503722466958,2.236772216410241e-16,0.4033920304819948,C
18-31,328801.97,4.40871725e6,4.7746371053698977e-5,0.3161398991400104,0.6753933173067569,0.39203340204727893,0.0844577272041964,2.9496126212995475e-16,C
18A-1,327056.33,4.40703775e6,3.832003399956304e-16,0.3448912192045508,4.612869510255601e-16,0.6223914995600475,2.236772216410241e-16,0.2963202630877051,C
18B-31,328791.32,4.40871144e6,3.7126092333100295e-6,0.2792346931950842,0.6542598879534453,0.42824654146388835,0.07755763561991519,2.9496126212995475e-16,C
18D-31,328751.91,4.40862911e6,2.5274356112190272e-11,0.4634613935296023,0.4761588176905519,0.4113892166036917,2.236772216410241e-16,0.16545036368740848,C
22-13,327161.72,4.4051245e6,3.832003399956304e-16,0.3293145928773309,0.43349343655366435,0.33375544137266266,2.236772216410241e-16,2.9496126212995475e-16,C
26-12,327300.66,4.40579963e6,0.64443044396073,0.24607756591947083,0.4431203588952518,2.9151621637478615e-16,0.1595171270366572,2.9496126212995475e-16,B
27-1,327256.49,4.40720478e6,0.38961470859209774,3.251897139634197e-16,4.612869510255601e-16,0.5795107095202019,0.22211509443067864,2.9496126212995475e-16,F
46-1,327805.01,4.40748476e6,0.1606256098215542,0.9461768024970477,0.5124125829124193,2.9151621637478615e-16,2.236772216410241e-16,2.9496126212995475e-16,E
46A-1,327774.78,4.40740108e6,0.22378514595050064,0.9794473703977116,0.4296025427381747,2.9151621637478615e-16,2.236772216410241e-16,2.9496126212995475e-16,E
47A-1,327661.35,4.40729129e6,3.832003399956304e-16,0.8446716652015859,0.07034439121736429,2.9151621637478615e-16,0.28909881331024256,2.9496126212995475e-16,E
47C-1,327746.25,4.4073085e6,0.5028201814592035,1.0,4.612869510255601e-16,2.9151621637478615e-16,2.236772216410241e-16,2.9496126212995475e-16,E
48A-1,327704.9,4.40718065e6,0.6092435713397174,0.8668534081348559,4.612869510255601e-16,2.9151621637478615e-16,0.15456153152343782,2.9496126212995475e-16,E
55-1,328014.47,4.40772054e6,0.15603841897131343,0.3424595471921721,0.4893099642032245,0.24827629216383612,0.28047350502167867,0.1502051884712497,B
56-1,327963.43,4.40755491e6,0.16846955018492177,0.43172012944768906,0.6450106707894246,0.002108307325912117,0.38104486096492396,2.9496126212995475e-16,B
56A-1,327859.51,4.40755578e6,0.5634414447831084,0.7007023521802684,4.612869510255601e-16,0.3537814145310052,2.236772216410241e-16,2.9496126212995475e-16,E
56B-1,327891.35,4.40745289e6,0.0009564273212374327,0.7609781257647787,4.612869510255601e-16,2.9151621637478615e-16,0.5308930528716708,2.9496126212995475e-16,D
57-1,327931.46,4.40741438e6,0.25885618543323136,0.47652230210646535,0.6157434139440636,2.9151621637478615e-16,0.3626024244161832,2.9496126212995475e-16,B
64-1,328156.6,4.40795433e6,3.832003399956304e-16,3.251897139634197e-16,0.7345807867429279,0.23327517993833563,0.421647309450721,2.9496126212995475e-16,B
68A-1,328229.72,4.40707921e6,0.2218193881268852,3.251897139634197e-16,0.34226202877851813,2.9151621637478615e-16,0.41711866037099593,0.6205050695727077,A
68B-1,328065.7,4.40706164e6,0.6036677392477828,3.251897139634197e-16,0.7401344711220811,2.9151621637478615e-16,2.236772216410241e-16,0.8526249533338932,A
77-1,328214.13,4.40718169e6,3.832003399956304e-16,0.47730111854105334,0.3505605293399992,0.2507922509944636,2.236772216410241e-16,0.6821164993310279,A
81-1,328567.28,4.40851194e6,0.6754857085345054,0.2462466768800523,0.8403613508905105,2.9151621637478615e-16,2.236772216410241e-16,2.9496126212995475e-16,B
81-11,326859.34,4.4069495e6,0.5605593871113801,0.26525870019836867,4.612869510255601e-16,2.9151621637478615e-16,0.31638343405323277,2.9496126212995475e-16,D
81A-1,328598.76,4.40855648e6,0.663521903685878,0.23070003595172647,0.8538002183446132,2.9151621637478615e-16,2.047814108103613e-15,2.9496126212995475e-16,B
81B-1,328528.63,4.40843124e6,0.19130512829309268,0.19704950259216736,0.580433917167308,0.45967944355507073,2.236772216410241e-16,0.11051408076990858,C
82A-11,326907.12,4.40670723e6,3.832003399956304e-16,3.251897139634197e-16,4.612869510255601e-16,1.0,2.236772216410241e-16,2.9496126212995475e-16,C
88-11,326889.0,4.40544507e6,0.05552432123059085,0.4335770391197491,0.0217283698551582,0.608181775544432,2.236772216410241e-16,2.9496126212995475e-16,C
B1,327745.53,4.40596877e6,0.3990330836055607,0.4841760125489274,4.612869510255601e-16,2.9151621637478615e-16,0.343195428042986,2.9496126212995475e-16,D
B2,327721.65,4.40609786e6,0.002591209005802392,0.01162901966174996,7.109935554982672e-6,2.9151621637478615e-16,1.0,2.9496126212995475e-16,D
B3,327738.97,4.40619405e6,0.29223481058454953,0.5092275447518674,4.612869510255601e-16,2.9151621637478615e-16,0.13508206229646072,0.5975259528828525,A
B4,327778.14,4.40639034e6,0.7797136503083588,0.10530745331662304,0.5119315736073203,2.9151621637478615e-16,0.05623767967877263,0.5935005393976092,A
B5,327713.81,4.40629808e6,3.832003399956304e-16,3.251897139634197e-16,0.5033260361201453,0.39256838394116333,2.236772216410241e-16,0.6707074348337746,A
B5A,327754.04,4.40637455e6,0.684100779482996,0.08069538455487112,0.5366972589803842,2.3530158966625518e-9,2.236772216410241e-16,0.7209110568625486,A
B6,327848.36,4.40636567e6,0.4177464148829529,0.32388679298243656,4.612869510255601e-16,0.28824227093306715,0.0040098881306081325,0.6611878425631101,A
B7,327784.51,4.40629935e6,0.483917511491026,0.22554823316612954,0.2592673121338623,0.24800299299915407,0.005224474930853073,0.6384627050811881,A
B8,327603.56,4.40643766e6,3.832003399956304e-16,0.3430389856988279,4.612869510255601e-16,2.9151621637478615e-16,0.7042784947489168,2.9496126212995475e-16,D
BCH-1,328398.2,4.40887416e6,0.7362073565290137,3.251897139634197e-16,0.5326897729693777,0.27828826568330167,2.236772216410241e-16,2.9496126212995475e-16,F
BCH-2,327732.14,4.40800628e6,0.7301592013717823,3.251897139634197e-16,4.612869510255601e-16,2.9151621637478615e-16,0.525540284235824,2.9496126212995475e-16,D
BCH-3,327126.74,4.40600409e6,1.0,3.251897139634197e-16,4.612869510255601e-16,0.5087728224938326,2.236772216410241e-16,9.135171471853508e-8,F
EE-1,327575.0,4.40640489e6,3.832003399956304e-16,0.3185173757527979,4.612869510255601e-16,2.9151621637478615e-16,0.7128103946245001,2.9496126212995475e-16,D
MG-1(SP-1),328194.09,4.4071925e6,3.832003399956304e-16,3.251897139634197e-16,4.612869510255601e-16,0.25227175064994956,0.32577111135760956,1.0,A
MG-2(SP-2),328128.08,4.4076273e6,3.832003399956304e-16,3.251897139634197e-16,1.0,0.19246273079713722,0.31814349690493954,0.08863742142406504,B
MGI-1,327853.91,4.40678619e6,0.6138609725421315,7.265778309235965e-10,0.6990203086174582,2.9151621637478615e-16,0.31219391619350456,0.3169460584377808,B
MGI-2,327994.35,4.40709171e6,0.3025739256685649,0.0008533226567712884,0.6442037930352387,0.38073974109002195,0.00014268005476060974,0.6450471348032715,A
